"resort","name","size","totalFeatures","url","parks","easy","public","pro"
"Zauchensee - Flachauwinkl - Ski amade","Familypark Rosskopf","S",7,"/snow-parks/familypark-rosskopf/",1,"7","",""
"Goldeck am Millstätter See","Snowpark Goldeck","S",7,"/snow-parks/snowpark-goldeck/",1,"3","4",""
"Hochkönig / Maria Alm - Dienten - Mühlbach - Ski amade","Familypark Schönanger","S",6,"/snow-parks/familypark-schoenanger/",1,"6","",""
"Radstadt - Altenmarkt - Ski amade","Beginnerpark Königslehen","S",5,"/snow-parks/beginnerpark-koenigslehen/",1,"5","",""
"Alpbach - Ski Juwel Alpbachtal Wildschönau","Familypark Alpbachtal","S",3,"/snow-parks/familypark-alpbachtal/",1,"3","",""
"Planneralm - Schneebären","Snowvalley Freestyle Planneralm CLOSED","",0,"/snow-parks/snowvalley-planneralm/",1,"","",""
"Lofer - Almenwelt Lofer","Lofi Funline","",0,"/snow-parks/snowpark-lofer-almenwelt/",1,"","",""
"Pitztaler Gletscher - Rifflsee / Pitztal","Snowpark Pitztaler Gletscher","","","/snow-parks/snowpark-pitztaler-gletscher/",1,"","",""
"Raurisertal - Hochalmbahnen","Snowpark Rauris","","","/snow-parks/snowpark-rauris/",2,"","",""
"Glungezer","glungezerparks","","","/snow-parks/glungezer-parks/",1,"","",""
"Silvretta Montafon","Snowpark Montafon","","","/snow-parks/snowpark-montafon/",1,"","",""
"Warth - Schröcken am Arlberg","Funslope Steffisalp","","","/snow-parks/funslope-steffisalp/",1,"","",""
"Hochkar","Funpark Hochkar","","","/snow-parks/hochkar/",1,"","",""
"Landeck - Zams - Fliess / Venetregion","","","","/snow-parks/venet-nightpark/",1,"","",""
"Bad Kleinkirchheim - St. Oswald Skiarena","Snowpark Bad Kleinkirchheim","","","/snow-parks/snowpark-bad-kleinkirchheim/",1,"","",""
"Kühtai","KPark - Kühtai","","","/snow-parks/k-park-kuehtai/",1,"","",""
"Sonnenkopf - Klostertal","Snowpark Sonnenkopf","","","/snow-parks/funpark-sonnenkopf/",1,"","",""
"Ehrwald Wettersteinbahnen","Snowpark by MINI - Wettersteinbahnen","","","/snow-parks/funslope-wettersteinbahnen-ehrwald/",1,"","",""
