name,skipass,rank(5),altmin(m),altmax(m),totalpistes(km),bluepistes(km),redpistes(km),blackpistes(km),lifts,lift_Aerial_tramway/reversible_ropeway,lift_Circulating_ropeway/gondola_lift,lift_Combined_installation_(gondola_and_chair),lift_Chairlift,lift_T-bar_lift/platter/button_lift_,lift_Rope_tow/beginner_lift,lift_Sunkid_Moving_Carpet,lift_Funicular,lift_People_mover,lift_Cog_railway,lift_Snow_caterpillars_for_Cat-skiing,season_open,season_close,lattitude,longitude
Bungerloch – Tarrenz,,,850,950,0.3,0,0.3,0,1,,,,,1,,1,,,,,,,,
Dellach im Drautal,,,610,650,0.5,0.5,0,0,1,,,,,1,,,,,,,,,46.7383261,13.0846198
Eibisberg – Anger,,,1000,1200,3.1,1.5,1,0.6,1,,,,,1,,,,,,,,,47.27461,15.69415
Eichfeldlift – Turnau,,,784,850,0.5,0.5,0,0,1,,,,,1,,,,,,,,,47.5618192,15.3412695
Feichten,,,1275,1310,0.3,0.3,0,0,1,,,,,1,,1,,,,,,,47.03012,10.74558
Floitenlift – Ginzling,,,990,1020,0.2,0.2,0,0,1,,,,,1,,,,,,,,,,
Gaisrückleiten – Wiesen,,,340,380,0.3,0.3,0,0,1,,,,,1,,,,,,,,,47.741664,16.3342274
Geigenbühel,,,1180,1230,1.5,1.5,0,0,1,,,,,1,,2,,,,,,,47.3342709,11.1835094
Glasenberg – Maria Neustift,,,780,971,4,3,1,0,1,,,,,1,,,,,,,,,47.9462991,14.5852028
Griminitzen (Kirchbach),,,390,460,1,1,0,0,1,,,,,1,,,,,,,,,46.62823,13.1021
Grünberg – Obsteig,,,1030,1102,1.3,1,0.3,0,1,,,,,1,,5,,,,,2017-12-16,2018-03-11,47.2929349,10.915121
Grunholzlift – Au,,,800,900,1,1,0,0,1,,,,,1,,1,,,,,,,,
Hinterfeld – Mösern (Telfs),,,1235,1265,0.3,0.3,0,0,1,,,,,1,,,,,,,,,,
Hittisberg – Hittisau,,,800,1000,1.9,1,0.9,0,1,,,,,1,,,,,,,2017-12-22,2018-03-11,47.4469123,9.9837507
Hohe Wand Wiese – Vienna (High Hills),,2.3,268,370,0.5,0.1,0.4,0,1,,,,,1,,1,,,,,,,48.2298045,16.2026481
Hrastlift – Feistritz an der Gail,,,555,660,0.5,0.5,0,0,1,,,,,1,,,,,,,,,46.5743471,13.616167
Hüttegglift – Weerberg,,,1250,1500,1.5,1.5,0,0,1,,,,,1,,,,,,,,,47.2894512,11.6756431
Hütten – Bizau,,,742,766,0.3,0.3,0,0,1,,,,,1,,,,,,,,,47.3683362,9.9491024
Johnsbach (Admont),,,870,1005,1.2,1.2,0,0,1,,,,,1,,,,,,,,,47.5462418,14.5844325
Kaiserlindenlift – Gams bei Hieflau,,,530,650,0.8,0.8,0,0,1,,,,,1,,,,,,,,,,
Karlift – Heiterwang,,,1050,1233,2,2,0,0,1,,,,,1,,,,,,,,,47.4183954,10.7599604
Katschwald (Obdach),,,1200,1277,0.5,0.5,0,0,1,,,,,1,,,,,,,,,47.0982167,14.6342285
Kohleck (Waldzell),,,660,750,0.8,0.5,0.3,0,1,,,,,1,,1,,,,,,,48.10696,13.38273
Kolsassberg,,,750,810,1.5,1.5,0,0,1,,,,,1,,1,,,,,,,47.28147,11.65295
Konradshüttle – Vils,,,922,1102,1,1,0,0,1,,,,,1,,,,,,,,,47.5361381,10.6445875
Kronberg – St. Georgen im Attergau,,,560,680,1,0.5,0.5,0,1,,,,,1,,,,,,,,,47.9036604,13.4828063
Krößbach,,,1102,1168,0.4,0.4,0,0,1,,,,,1,,,,,,,,,47.0813389,11.2670017
Lainach (Rangersdorf),,,870,950,0.3,0.3,0,0,1,,,,,1,,,,,,,,,46.84874,12.92832
Lammertallift – Annaberg-Lungötz,,,800,1000,1.4,1.4,0,0,1,,,,,1,,,,,,,,,,
Lana Lift – Anras,,,1260,1360,1,0.5,0.5,0,1,,,,,1,,,,,,,,,,
Lengau,,,1160,1193,0.3,0.3,0,0,1,,,,,1,,,,,,,,,48.0050198,13.2180655
Lessach,,,1210,1410,1,1,0,0,1,,,,,1,,,,,,,,,47.1886652,13.8067484
Mathon,,,1450,1490,1,1,0,0,1,,,,,1,,,,,,,,,44.8522693,0.4837497
Mitteldorflift – Döllach (Großkirchheim),,,1060,1145,0.6,0.6,0,0,1,,,,,1,,,,,,,,,,
Moosberglift – Weißenbach am Lech,,,858,1050,0.7,0.7,0,0,1,,,,,1,,,,,,,,,47.4379265,10.6340635
Moosetallift – Leisach,,,715,835,0.7,0.7,0,0,1,,,,,1,,,,,,,,,,
Mühldorf,,,620,680,0.5,0.5,0,0,1,,,,,1,,,,,,,,,48.2457722,12.5219895
Mühlegglift – Hopfgarten in Defereggen,,,1097,1155,0.5,0.5,0,0,1,,,,,1,,,,,,,,,,
Navis,,,1395,1585,0.7,0,0.7,0,1,,,,,1,,,,,,,,,44.045698,-121.306459
Neuleutasch (Leutasch),,,1200,1250,0.5,0.5,0,0,1,,,,,1,,,,,,,,,47.3498754,11.1818923
Obdach,,,895,1220,4.3,0.3,2,2,1,,,,,1,,,,1,,,,,47.065207,14.6963318
Obervellach,,,670,720,1,1,0,0,1,,,,,1,,,,,,,,,46.9312327,13.2001823
Oberzeiring (Pölstal),,,932,980,0.4,0.4,0,0,1,,,,,1,,,,,,,,,47.2515626,14.4866199
Paluda – Dalaas,,,850,1150,4.7,2,1.5,1.2,1,,,,,1,,,,,,,,,47.1207042,10.0026677
Petersbründl – St. Michael im Lungau,,,1050,1240,1,0.5,0.5,0,1,,,,,1,,,,,,,,,47.0907656,13.6267098
Pirstingerkogellift Sommeralm – Hohenau an der Raab (Passail),,,1320,1424,2,0.5,1,0.5,1,,,,,1,,1,,,,,2017-12-08,2018-03-18,47.2812703,15.4881801
Raunigwiese – Kolbnitz (Reisseck),,,726,800,1,1,0,0,1,,,,,1,,,,,,,,,46.8709521,13.3136916
Rettenegg,,,870,900,0.3,0.3,0,0,1,,,,,1,,,,,,,,,47.5263354,15.7808787
Rossbachlift – Nassereith,,,910,1030,0.5,0,0.5,0,1,,,,,1,,,,,,,,,,
Rotecklift – Tobadill,,,1136,1307,3,2,1,0,1,,,,,1,,,,,,,,,,
Saualpe – Eberstein,,,1650,1780,1,1,0,0,1,,,,,1,,,,,,,2017-12-25,2018-03-18,46.8333333,14.6666668
Schatzerlift – Kirchberg,,,822,870,0.7,0.7,0,0,1,,,,,1,,,,,,,,,47.4448182,12.3115613
Schnee-Erlebnisland Flattach,,,715,775,0.2,0.2,0,0,1,,,,,1,,1,,,,,,,,
Schwannerlift – Weerberg,,,900,1000,1,1,0,0,1,,,,,1,,,,,,,,,47.3021282,11.674632
Sonnenberglift – Gries im Sellrain,,,1185,1275,0.6,0.6,0,0,1,,,,,1,,1,,,,,,,47.1963978,11.1571958
Sonnenberglift – Milders,,,1037,1149,0.4,0,0.4,0,1,,,,,1,,,,1,,,,,,
Sonnenlift – Praxmar,,,1720,1791,0.4,0.4,0,0,1,,,,,1,,,,,,,,,47.1501112,11.1335057
Spechtenseelift – Pürgg (Stainach-Pürgg),,,1000,1212,2.7,0.2,2.5,0,1,,,,,1,,,,,,,,,47.5614913,14.0832574
St. Hemma – Edelschrott,,,1007,1135,1.8,0.9,0.9,0,1,,,,,1,,,,,,,,,47.024153,14.986897
Stadtwaldlift – Rottenmann,,,788,910,0.6,0.6,0,0,1,,,,,1,,,,,,,,,,
Stoaninger Alm – Schönau im Mühlkreis,,,722,814,1.2,1.2,0,0,1,,,,,1,,,,,,,,,48.401462,14.719775
Stockerfeldlift Mößna – St. Nikolai im Sölktal (Sölk),,,1001,1096,0.4,0.4,0,0,1,,,,,1,,,,,,,,,,
Trins,,2.5,1189,1268,1,1,0,0,1,,,,,1,,,,,,,,,47.0840436,11.4209635
Tschardund – Nenzing,,,530,688,1.2,1.2,0,0,1,,,,,1,,,,,,,,,,
Vögelsberg (Wattens),,,870,976,0.5,0.5,0,0,1,,,,,1,,,,,,,,,47.2637155,11.5954385
Waldrastlift – Ehenbichl,,,850,965,0.5,0.5,0,0,1,,,,,1,,,,,,,,,47.4802423,10.720831
Wiesinger Bühel – Wiesing,,,620,670,1,1,0,0,1,,,,,1,,,,,,,,,,
Wildentallift,,,1200,1320,2,1.5,0.5,0,1,,,,,1,,,,,,,,,,
Zellenberg – Kukmirn,,,300,360,0.3,0.3,0,0,1,,,,,1,,,,,,,,,47.0719,16.18715
Zenitzen – Winklern,,,930,1000,0.3,0.3,0,0,1,,,,,1,,,,,,,,,,
Alfaierlift – Gschnitz,,2,1265,1350,0.5,0.3,0.2,0,1,,,,,,1,,,,,,,,47.0346551,11.3355732
Astenberg – Wiesing,,,720,745,1,1,0,0,1,,,,,,1,,,,,,,,47.4182815,11.7968165
Astenlift – St. Veit im Pongau,,,760,820,0.7,0.7,0,0,1,,,,,,,,,,,,,,47.3292566,13.1539056
Bad Häring,,,650,685,0.3,0.3,0,0,1,,,,,,,,,,,,,,47.5108796,12.1185066
Baldramsdorf,,,560,590,0.5,0.5,0,0,1,,,,,,1,,,,,,,,46.8025191,13.448398
Berger Anger – Berg im Drautal,,,670,686,0.2,0.2,0,0,1,,,,,,1,,,,,,,,,
Bonka – Kirchbach (St. Andrä-Wördern),,,370,390,0.2,0.2,0,0,1,,,,,,,,,,,,,,48.283668,16.202807
Brandlwiese – Kaumberg,,,420,460,0.5,0.5,0,0,1,,,,,,,,,,,,,,,
Braz (Innerbraz),,,706,750,0.5,0.5,0,0,1,,,,,,,,,,,,,,47.14626,9.91446
Breitenwang,,,800,850,0.2,0.2,0,0,1,,,,,,1,,,,,,,,47.4888473,10.7379683
Bschlabs (Pfafflar),,,1350,1400,1,1,0,0,1,,,,,,,,,,,,,,47.31164,10.57772
Dollwiese – Vienna,,,320,350,0.2,0.2,0,0,1,,,,,,1,,,,,,,,,
Dorflift Sulzberg,,,970,1007,0.4,0.4,0,0,1,,,,,,,,,,,,,,47.5214808,9.909067
Eugendorf,,,650,800,1,1,0,0,1,,,,,,,,,,,,,,47.8688068,13.1287727
Feichtecklift Brandlucken – St. Kathrein am Offenegg,,,1050,1220,3,1,1,1,1,,,,,,,,,,,,,,,
Fellachlift – Virgen,,,1100,1200,1,1,0,0,1,,,,,,,,,,,,,,47.0000613,12.459712
Försterkogel – Puchenstuben,,,880,930,0.5,0.5,0,0,1,,,,,,,,,,,,,,,
Gedersberg – Seiersberg,,,378,403,0.3,0.3,0,0,1,,,,,,1,,,,,,,,47.0172355,15.3762544
Gramais,,,1325,1380,0.2,0.2,0,0,1,,,,,,,,,,,,,,47.2691521,10.5347818
Hallstatt,,,550,580,0.3,0.3,0,0,1,,,,,,,,,,,,,,47.5622342,13.6492617
Häselgehr,,,1000,1025,0.2,0.2,0,0,1,,,,,,,,,,,,,,47.308851,10.4902025
Jauerling – Maria Laach am Jauerling,,,825,959,0.5,0.5,0,0,1,,,,,,,,,,,,,,48.3046828,15.3432125
Kaisers,,,1520,1540,0.2,0.2,0,0,1,,,,,,,,,,,,,,42.3861545,-87.9232656
Kirchdorflift – Doren,,,720,797,0.7,0,0.3,0.4,1,,,,,,,,,,,,,,,
Königswiesen,,,580,690,0.5,0.5,0,0,1,,,,,,,,,,,,,,48.4069966,14.8405221
Langkampfen,,,520,543,0.2,0.2,0,0,1,,,,,,1,,,,,,,,47.5433293,12.1007604
Lärchenhof – Erpfendorf,,,650,789,1,0.5,0.5,0,1,,,,,,,,,,,,,,47.5792742,12.5010198
Muckenkogel – Lilienfeld,,,473,1134,3,2,1,0,1,,,,1,,,,,,,,,,47.9833333,15.6166667
Oswaldbauerlift – Krieglach,,,960,1000,0.5,0.5,0,0,1,,,,,,,,,,,,,,47.5724557,15.5356518
Parfußwirtlifte – Trahütten (Deutschlandsberg),,,700,1100,4,3,1,0,1,,,,,,,,,,,,,,46.8285065,15.125631
Patschalift – St. Kathrein am Offenegg,,,1000,1200,2.5,1,1.5,0,1,,,,,,,,,,,,,,,
Platzhaus-Leit'n – Stuhlfelden,,,800,850,0.3,0.3,0,0,1,,,,,,1,,,,,,,,,
Predigstuhl – Bad Goisern am Hallstättersee,,,1004,1050,1,1,0,0,1,,,,,,,,,,,,,,47.6596847,13.6391526
Schnifisberg – Schnifis,,,650,1350,2,0,0,2,1,1,,,,,,,,,,,,,47.2237538,9.7400024
St. Kathrein am Offenegg,,,972,1100,1,1,0,0,1,,,,,,,,,,,,,,47.3011547,15.5759172
Tauchnerfeld – Stall,,,850,880,0.2,0.2,0,0,1,,,,,,1,,,,,,,,,
Thalgauberg – Thalgau,,,770,913,1,1,0,0,1,,,,,,,,,,,,,,47.85231,13.26388
Tockneralmlift Krakauebene – Krakauhintermühlen (Krakau),,,1220,1450,3,1,2,0,1,,,,,,,,,,,,,,47.1896881,13.9792313
Tragöß-Sankt Katharein,,,750,810,0.4,0.4,0,0,1,,,,,,,,,,,,,,47.4691925,15.1651016
Trausmühle – Ottenschlag,,,802,892,0.8,0.8,0,0,1,,,,,,,,,,,,,,48.4383391,15.210383
Untersberg – Grödig,,,469,1776,7.5,0,0,7.5,1,1,,,,,,,,,,,,,47.7265952,13.0430421
Vals,,,1340,1370,0.3,0.3,0,0,1,,,,,,1,,,,,,,,39.7662331,-75.1437268
Waldheimhütte – Sankt Anna am Lavantegg,,,1614,1720,0.5,0.5,0,0,1,,,,,,,,,,,,,,47.0569472,14.6301023
Wiesenhofer – Miesenbach bei Birkfeld,,,800,900,1,1,0,0,1,,,,,,,,,,,,,,47.3639135,15.7557135
Wildstättlift – Wattenberg,,,1200,1317,0.8,0.8,0,0,1,,,,,,,,,,,,,,,
Zederhaus,,,1250,1350,1,1,0,0,1,,,,,,,,,,,,,,47.1542315,13.5047896
Bichlalm,,,907,1600,,,,,,,,,1,,,,,,,,,,47.4405588,12.4512841
Schneeerlebniswelt Seestadt Aspern – Vienna (dry slopes),,,150,170,0.2,0.2,0,0,,,,,,,,,,,,,,,48.2335014,16.5066142
