name,skipass,rank(5),altmin(m),altmax(m),totalpistes(km),bluepistes(km),redpistes(km),blackpistes(km),lifts,lift_Aerial_tramway/reversible_ropeway,lift_Circulating_ropeway/gondola_lift,lift_Combined_installation_(gondola_and_chair),lift_Chairlift,lift_T-bar_lift/platter/button_lift_,lift_Rope_tow/beginner_lift,lift_Sunkid_Moving_Carpet,lift_Funicular,lift_People_mover,lift_Cog_railway,lift_Snow_caterpillars_for_Cat-skiing,season_open,season_close,lattitude,longitude
Serles – Mieders,,,960,1674,5.7,2.2,3.5,0,4,,1,,,3,,,,1,,,2017-12-08,2018-03-18,47.1333333,11.3833333
St. Jakob im Walde,,,1000,1200,4,1,3,0,4,,,,,3,1,,,,,,2017-12-08,2018-03-12,47.4663258,15.788746
Stoderzinken – Gröbming,Ski Amade,,1700,1975,8,4,3,1,4,,,,,3,1,1,,,,,2017-12-22,2018-04-08,47.4473589,13.8584352
Vent,,,1890,2680,15,5,10,0,4,,,,1,3,,2,,,,,2017-12-22,2018-04-07,41.8546093,-87.7364491
Zinkenlifte – Dürrnberg (Hallein),,,837,1330,8,2,5.5,0.5,4,,,,1,3,,,,,,,2017-12-22,2018-03-18,47.681623,13.0927411
Alpe Furx – Furx (Zwischenwasser),,,900,1200,2.5,2,0.5,0,4,,,,,2,2,,,,,,2017-12-22,2018-03-18,47.2757825,9.6931395
Faschina (Fontanella),,,1450,1980,8.4,5.9,2.5,0,4,,,,2,2,,,,,,,2017-12-23,2018-04-15,47.2682744,9.9008629
Galsterberg – Pruggern,Ski Amade,,1000,1976,12,4,7,1,4,,1,,1,2,,1,,,,,2017-12-01,2018-04-08,47.4052995,13.8637838
Gemeindealpe – Mitterbach am Erlaufsee,,,800,1626,15.5,7,7,1.5,4,,,,2,2,,1,,,,,2017-12-08,2018-03-18,47.8,15.2333333
Hahnbaum – St. Johann im Pongau,,,619,1128,3.4,0.2,3.2,0,4,,,,1,2,1,,,,,,,,47.340739,13.22545
Hirnkopf – Flattnitz (Glödnitz),,,1400,1840,13,7,2,4,4,,,,1,2,1,1,,,,,2017-12-08,2018-03-18,46.9327563,14.0113831
Hochstein – Lienz,,2.7,686,1988,16,0.5,11.3,4.2,4,,,1,1,2,,,,,,,2017-12-22,2018-03-11,46.841748,12.775955
Kelchsau,,2.8,775,1605,10.9,6.8,4.1,0,4,,,,1,2,1,,,,,,2017-12-22,2018-04-02,47.39238,12.1349701
Kellerjoch – Schwaz,,2.8,,857,10,5.5,2.4,2.1,4,,,,2,2,,2,,,,,2017-12-23,2018-04-02,47.3166667,11.7666667
Kötschach-Mauthen,,,710,1300,7,5,2,0,4,,,,1,2,1,,,,,,2017-12-16,2018-03-11,46.6711385,12.9994368
Niederthai (Umhausen),,,1500,1680,4,2,2,0,4,,,,,2,2,,,,,,,,47.12606,10.9692
Schattwald/Zöblen,,,1090,1565,10.3,4.5,3.7,2.1,4,,,,2,2,,,,,,,2017-12-08,2018-04-02,47.5136584,10.4609944
Wetterstein lifts (Wettersteinbahnen) – Ehrwald,,3.4,1000,1530,23,15,5,3,4,,,,2,2,,5,,,,,2017-12-15,2018-03-25,47.40709,10.9289776
