country,resort,name,year,month,date,lower,upper
Andorra,Pal,Pal,2014,3,2014-03-01,131,189
Andorra,Pal,Pal,2015,3,2015-03-01,150,183
Andorra,Pal,Pal,2016,3,2016-03-01,67,102
Andorra,Pal,Pal,2014,4,2014-04-01,57,97
Andorra,Pal,Pal,2015,4,2015-04-01,37,47
Andorra,Pal,Pal,2016,4,2016-04-01,19,29
Austria,Bad-Gastein,Bad Gastein,2013,11,2013-11-01,0,0
Austria,Bad-Gastein,Bad Gastein,2015,11,2015-11-01,7,14
Austria,Bad-Gastein,Bad Gastein,2016,11,2016-11-01,0,0
Austria,Bad-Gastein,Bad Gastein,2013,12,2013-12-01,43,121
Austria,Bad-Gastein,Bad Gastein,2014,12,2014-12-01,50,130
Austria,Bad-Gastein,Bad Gastein,2015,12,2015-12-01,30,40
Austria,Bad-Gastein,Bad Gastein,2016,12,2016-12-01,14,54
Austria,Bad-Gastein,Bad Gastein,2014,1,2014-01-01,47,131
Austria,Bad-Gastein,Bad Gastein,2015,1,2015-01-01,96,189
Austria,Bad-Gastein,Bad Gastein,2016,1,2016-01-01,33,84
Austria,Bad-Gastein,Bad Gastein,2017,1,2017-01-01,20,70
Austria,Bad-Gastein,Bad Gastein,2014,2,2014-02-01,46,162
Austria,Bad-Gastein,Bad Gastein,2015,2,2015-02-01,135,251
Austria,Bad-Gastein,Bad Gastein,2016,2,2016-02-01,55,124
Austria,Bad-Gastein,Bad Gastein,2014,3,2014-03-01,26,230
Austria,Bad-Gastein,Bad Gastein,2015,3,2015-03-01,108,229
Austria,Bad-Gastein,Bad Gastein,2016,3,2016-03-01,39,138
Austria,Bad-Gastein,Bad Gastein,2014,4,2014-04-01,3,131
Austria,Bad-Gastein,Bad Gastein,2015,4,2015-04-01,33,71
Austria,Bad-Gastein,Bad Gastein,2016,4,2016-04-01,1,30
Austria,Kaprun,Kaprun,2013,11,2013-11-01,0,137
Austria,Kaprun,Kaprun,2015,11,2015-11-01,6,69
Austria,Kaprun,Kaprun,2016,11,2016-11-01,25,82
Austria,Kaprun,Kaprun,2013,12,2013-12-01,13,127
Austria,Kaprun,Kaprun,2014,12,2014-12-01,20,190
Austria,Kaprun,Kaprun,2015,12,2015-12-01,15,84
Austria,Kaprun,Kaprun,2016,12,2016-12-01,25,76
Austria,Kaprun,Kaprun,2014,1,2014-01-01,29,120
Austria,Kaprun,Kaprun,2015,1,2015-01-01,62,255
Austria,Kaprun,Kaprun,2016,1,2016-01-01,33,95
Austria,Kaprun,Kaprun,2017,1,2017-01-01,36,106
Austria,Kaprun,Kaprun,2014,2,2014-02-01,76,148
Austria,Kaprun,Kaprun,2015,2,2015-02-01,81,276
Austria,Kaprun,Kaprun,2016,2,2016-02-01,86,138
Austria,Kaprun,Kaprun,2014,3,2014-03-01,107,175
Austria,Kaprun,Kaprun,2015,3,2015-03-01,100,310
Austria,Kaprun,Kaprun,2016,3,2016-03-01,138,201
Austria,Kaprun,Kaprun,2014,4,2014-04-01,100,225
Austria,Kaprun,Kaprun,2015,4,2015-04-01,92,369
Austria,Kaprun,Kaprun,2016,4,2016-04-01,144,221
Austria,Zell-am-Ziller,Zell am Ziller,2013,11,2013-11-01,0,0
Austria,Zell-am-Ziller,Zell am Ziller,2015,11,2015-11-01,0,0
Austria,Zell-am-Ziller,Zell am Ziller,2016,11,2016-11-01,0,0
Austria,Zell-am-Ziller,Zell am Ziller,2013,12,2013-12-01,3,26
Austria,Zell-am-Ziller,Zell am Ziller,2014,12,2014-12-01,13,66
Austria,Zell-am-Ziller,Zell am Ziller,2015,12,2015-12-01,0,19
Austria,Zell-am-Ziller,Zell am Ziller,2016,12,2016-12-01,0,28
Austria,Zell-am-Ziller,Zell am Ziller,2014,1,2014-01-01,7,43
Austria,Zell-am-Ziller,Zell am Ziller,2015,1,2015-01-01,9,59
Austria,Zell-am-Ziller,Zell am Ziller,2016,1,2016-01-01,5,38
Austria,Zell-am-Ziller,Zell am Ziller,2017,1,2017-01-01,12,47
Austria,Zell-am-Ziller,Zell am Ziller,2014,2,2014-02-01,17,88
Austria,Zell-am-Ziller,Zell am Ziller,2015,2,2015-02-01,7,66
Austria,Zell-am-Ziller,Zell am Ziller,2016,2,2016-02-01,3,45
Austria,Zell-am-Ziller,Zell am Ziller,2014,3,2014-03-01,2,55
Austria,Zell-am-Ziller,Zell am Ziller,2015,3,2015-03-01,0,60
Austria,Zell-am-Ziller,Zell am Ziller,2016,3,2016-03-01,6,75
Austria,Zell-am-Ziller,Zell am Ziller,2014,4,2014-04-01,0,25
Austria,Zell-am-Ziller,Zell am Ziller,2015,4,2015-04-01,0,25
Austria,Zell-am-Ziller,Zell am Ziller,2016,4,2016-04-01,0,12
Austria,Zurs-am-Arlberg,Zurs am Arlberg,2013,11,2013-11-01,0,0
Austria,Zurs-am-Arlberg,Zurs am Arlberg,2015,11,2015-11-01,2,3
Austria,Zurs-am-Arlberg,Zurs am Arlberg,2016,11,2016-11-01,0,0
Austria,Zurs-am-Arlberg,Zurs am Arlberg,2013,12,2013-12-01,41,53
Austria,Zurs-am-Arlberg,Zurs am Arlberg,2014,12,2014-12-01,66,96
Austria,Zurs-am-Arlberg,Zurs am Arlberg,2015,12,2015-12-01,30,35
Austria,Zurs-am-Arlberg,Zurs am Arlberg,2016,12,2016-12-01,4,26
Austria,Zurs-am-Arlberg,Zurs am Arlberg,2014,1,2014-01-01,72,74
Austria,Zurs-am-Arlberg,Zurs am Arlberg,2015,1,2015-01-01,58,108
Austria,Zurs-am-Arlberg,Zurs am Arlberg,2016,1,2016-01-01,88,107
Austria,Zurs-am-Arlberg,Zurs am Arlberg,2017,1,2017-01-01,35,57
Austria,Zurs-am-Arlberg,Zurs am Arlberg,2014,2,2014-02-01,101,117
Austria,Zurs-am-Arlberg,Zurs am Arlberg,2015,2,2015-02-01,97,170
Austria,Zurs-am-Arlberg,Zurs am Arlberg,2016,2,2016-02-01,129,182
Austria,Zurs-am-Arlberg,Zurs am Arlberg,2014,3,2014-03-01,93,108
Austria,Zurs-am-Arlberg,Zurs am Arlberg,2015,3,2015-03-01,82,202
